method,roi,n_cells,median_circularity,mean_circularity,pct_circ_gt07,median_area_um2,mean_area_um2
v12,roi1,1032,0.7749,0.7609,79.84,57.61,61.69
v12,roi2,1054,0.7688,0.761,78.94,52.66,58.71
v12,roi3,1008,0.7628,0.7542,77.28,56.26,60.53
v12,roi4,796,0.7575,0.7432,72.49,61.77,68.05
v12,roi5,792,0.7501,0.7326,68.31,70.51,76.14
v12,roi6,1204,0.7648,0.7556,79.65,46.85,55.88
v12,roi7,1174,0.7671,0.7601,78.19,40.56,49.14
v12,roi8,666,0.7733,0.7597,76.13,72.49,76.16
v12,roi9,983,0.7615,0.7476,72.84,49.03,57.08
v12,roi10,805,0.7741,0.7635,79.01,58.02,65.85
v12,roi11,690,0.8214,0.8036,87.68,59.3,62.17
v12,roi12,815,0.7691,0.7605,79.51,43.48,54.1
v12,roi13,655,0.7281,0.72,59.54,79.39,85.29
v12,roi14,684,0.7737,0.7651,80.41,70.06,79.02
v12,roi15,636,0.8324,0.8234,92.45,46.67,52.33
sr,roi1,1296,0.5815,0.5899,13.66,51.5,57.2
sr,roi2,1277,0.5768,0.5875,13.63,47.9,56.95
sr,roi3,1117,0.5757,0.5947,12.09,55.7,62.78
sr,roi4,1078,0.5644,0.5808,12.52,51.5,59.61
sr,roi5,1056,0.565,0.5759,10.61,56.82,69.04
sr,roi6,1025,0.5649,0.5762,9.95,56.82,68.97
sr,roi7,1020,0.5712,0.5855,11.67,53.49,67.47
sr,roi8,1013,0.5527,0.563,9.48,61.47,72.68
sr,roi9,956,0.5582,0.5752,9.1,59.9,74.07
sr,roi10,904,0.5639,0.5717,10.51,55.66,74.36
sr,roi11,865,0.5609,0.5681,7.98,68.89,82.3
sr,roi12,806,0.5678,0.5872,12.28,51.5,72.76
sr,roi13,780,0.5313,0.5417,5.9,81.94,93.32
sr,roi14,785,0.5555,0.5617,7.26,79.31,89.64
sr,roi15,445,0.551,0.5551,4.49,114.55,124.26
p3,roi1,1220,0.809,0.7924,87.3,43.71,47.69
p3,roi2,1243,0.7907,0.7754,81.98,42.13,46.84
p3,roi3,1160,0.8115,0.7961,86.47,43.59,46.07
p3,roi4,975,0.7751,0.7557,73.95,47.15,52.89
p3,roi5,993,0.7649,0.7482,72.0,52.55,56.11
p3,roi6,1373,0.7801,0.7711,83.69,39.58,45.24
p3,roi7,1558,0.7963,0.7905,85.88,30.62,35.51
p3,roi8,893,0.7728,0.7592,75.36,57.42,61.39
p3,roi9,1228,0.7634,0.7532,75.08,39.58,46.05
p3,roi10,930,0.8004,0.7809,81.51,47.0,54.62
p3,roi11,1054,0.8086,0.7882,81.88,46.1,51.44
p3,roi12,926,0.7794,0.7666,80.02,38.53,47.3
p3,roi13,849,0.7404,0.7236,62.19,63.05,67.97
p3,roi14,867,0.7865,0.7752,80.85,54.88,62.5
p3,roi15,885,0.8494,0.8346,92.2,32.84,37.66
nuc,roi1,838,0.9298,0.902,92.96,17.09,18.71
nuc,roi2,825,0.8964,0.8661,91.03,18.14,21.71
nuc,roi3,739,0.8937,0.8621,89.72,19.49,21.88
nuc,roi4,648,0.8698,0.8387,86.42,24.29,28.21
nuc,roi5,609,0.8393,0.8121,80.62,30.29,33.94
nuc,roi6,983,0.8883,0.8767,98.47,27.51,29.5
nuc,roi7,843,0.8986,0.888,95.37,18.14,19.95
nuc,roi8,562,0.8398,0.8123,83.99,29.54,31.74
nuc,roi9,770,0.8632,0.8432,90.26,25.6,28.54
nuc,roi10,629,0.8739,0.8496,88.71,19.94,27.98
nuc,roi11,586,0.9051,0.8684,88.23,19.9,23.86
nuc,roi12,650,0.8715,0.8559,94.15,26.05,29.1
nuc,roi13,522,0.7806,0.7673,72.41,38.68,42.6
nuc,roi14,567,0.8597,0.8375,87.65,30.66,35.27
nuc,roi15,330,0.9035,0.8797,91.21,14.51,17.77
