metric,statistic,p_value,n_blocks
tas,37.8,3.1159095179447366e-08,14
core_tas,24.4286,2.032771345513803e-05,14
capture_score,36.2571,6.607180727430766e-08,14
purity_score,38.5714,2.1391670731499868e-08,14
a1_capture,38.1429,2.636326187712086e-08,14
a1_umi_density,27.0857,5.648718199330396e-06,14
a2_median_umi,37.8,3.1159095179447366e-08,14
a3_median_genes,37.8857,2.9884082001039876e-08,14
c1_coexpr,38.5714,2.1391670731499868e-08,14
ned,38.5714,2.1391670731499868e-08,14
d1_norm,42.0,4.012126658231684e-09,14
e1_norm,4.4634,0.21557692546836957,8
